name,description,image,category,brand
"Dulces 
                                                                (4)",,https://colombina.com/dxp/assets/svgs/short-arrow--right.svg,,
"Dulces 
                                                                (4)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Dulces 
                                                                (4)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Dulces 
                                                                (4)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Dulces 
                                                                (4)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Galletas 
                                                                (12)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Helados 
                                                                (5)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Salsas y Aderezos 
                                                                (3)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Snacks 
                                                                (3)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,,,
