name,description,image,category,brand
"Chocolatería 
                                                                (2)",,https://colombina.com/dxp/assets/svgs/short-arrow--right.svg,,
"Chocolatería 
                                                                (2)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Chocolatería 
                                                                (2)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Chocolatería 
                                                                (2)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Chocolatería 
                                                                (2)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Dulces 
                                                                (5)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Galletas 
                                                                (2)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Helados 
                                                                (34)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Salsas y Aderezos 
                                                                (9)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
"Temporada 
                                                                (18)",,https://colombina.com/dxp/assets/svgs/short-arrow--bottom-bold.svg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,https://colombinacontentmanager-prd.s3.us-east-1.amazonaws.com/Dulces/7702011129925_A1N1_es.jpg,,
Gomas Grissly aros,,,,
